#Time Threads
13598.354980 1
5209.130127 2
3448.640869 3
2255.468018 4
1753.356934 5
1669.083008 6
1496.833984 7
1318.645020 8
1165.754150 9
1136.738037 10
1180.694092 11
1193.520996 12
1200.054932 13
1182.082031 14
1175.432129 15
1237.572998 16
1236.930908 17
1230.779053 18
1308.435059 19
1411.489990 20
1399.052979 21
1456.661865 22
1488.844971 23
1471.500977 24
1511.210938 25
1522.923096 26
1582.228027 27
1615.855957 28
1615.843994 29
1674.008057 30
1697.728027 31
1716.858887 32
